"Condition","Obs_InsP6","Obs_InsP75","Obs_InsP75_1O","Obs_InsP75_2O","Obs_InsP8","Obs_InsP8_1O","Obs_InsP8_2O","Obs_InsP71","Obs_InsP71_1O","Obs_InsP71_2O","Obs_ratio_0O","Obs_ratio_1O","Obs_ratio_2O","Obs_ratio_3O","time"
"HCT116_18O_Water_high","7.3831559528708","0.296204011798274","0.026354736749192","0.134273611803272","0.013677544658951","0.016951541144261","0.052673650632127","0.15854388705461","0.027093527453131","0.072388792675878","0.967418395331079","0.020132707304761","0.008685408059359","0.003763489304801",0
"HCT116_18O_Water_high","9.77206345155771","0.355974365280913","0.041381022860661","0.128215970779997","0.009825875537077","0.007548374387103","0.044014598999463","0.225491452598265","0.043770357394776","0.07240249690786","0.980481025160596","0.015033410235521","0.003257093601372","0.001228471002512",0
"HCT116_18O_Water_high","17.8629092622948","0.5013182143509","0.081754631920828","0.134614917435659","0.011743544593285","0.011051421797827","0.045434562347729","0.264622019476637","0.038384259637796","0.0730874817857","0.984166749238836","0.013345382284876","0.001880215108846","0.000607653367442",0
"HCT116_18O_Water_high","18.429002356042","0.467540012579605","0.114807515816882","0.162708136759713","0.005159899474248","0.007590469389865","0.040061803182717","0.157207342046952","0.068483998598898","0.098821238366868","0.723419447358154","0.199667266075817","0.064404319091124","0.012508967474905",1
"HCT116_18O_Water_high","15.7213800935455","0.497478634911693","0.104404204309355","0.142276579337258","0.005345009770089","0.007263577443578","0.042261035475169","0.12343616056491","0.055227272823126","0.082130019353094","0.754142639339704","0.176625632423711","0.05661433312955","0.012617395107035",1
"HCT116_18O_Water_high","17.3658824709214","0.419887148951975","0.098958469863908","0.169617071682713","0.005723983602809","0.007092377193839","0.046753516887484","0.098394807391055","0.057564324146649","0.067308930216831","0.711495513588795","0.210185308503904","0.065207764990212","0.013111412917089",1
"HCT116_18O_Water_high","16.5160502362251","0.376986047104461","0.119597671068124","0.158251255567986","0.003798023967904","0.004082408725906","0.043129775551043","0.094476907697508","0.096354079058154","0.092727874331411","0.580954637692826","0.288450697546997","0.102945303631066","0.027649361129112",2
"HCT116_18O_Water_high","19.2833338770646","0.41271005654826","0.147607018531473","0.180129615868555","0.003215932874168","0.004942427396585","0.033383888057582","0.097616561432225","0.088385790416935","0.104374352914153","0.575001535861746","0.287978226252576","0.10776670701834","0.029253530867338",2
"HCT116_18O_Water_high","18.3799136158166","0.449494599113481","0.15085679374173","0.174989788008079","0.002231448486154","0.001917326407723","0.033950497133805","0.11317907391638","0.091173371151211","0.098657219329023","0.519294245064498","0.319360830046897","0.129532100828286","0.03181282406032",2
"HCT116_18O_Water_high","21.2461004487362","0.336121172287211","0.169222781173513","0.221383155658551","0.001412866670404","0.00162518452922","0.036727127664369","0.077695837829158","0.097298192772947","0.114453225298308","0.416712253110103","0.349108388713398","0.176934655445948","0.057244702730551",5
