"Condition","Obs_InsP6","Obs_InsP75","Obs_InsP75_1O","Obs_InsP75_2O","Obs_InsP8","Obs_InsP8_1O","Obs_InsP8_2O","Obs_InsP71","Obs_InsP71_1O","Obs_InsP71_2O","Obs_ratio_0O","Obs_ratio_1O","Obs_ratio_2O","Obs_ratio_3O","time"
"HCT116_18O_Water","247.494281879913","27.306","4.229","0.386","1.16611922888016","0.200639409742286","0.070197836010632","1.756","0.291","0.085","0.992","0.008","0","0","0"
"HCT116_18O_Water","292.969622385379","26.48","8.033","3.086","0.641229044370406","0.266077000370194","0.242266567164764","0.878","0.614","0.439","0.512","0.335","0.123","0.03","2.5"
"HCT116_18O_Water","285.855793940118","19.798","9.108","3.766","0.528832776850306","0.288601041418237","0.19563856427379","0.587","0.583","0.373","0.389","0.372","0.187","0.052","5"
"HCT116_18O_Water","249.425106762455","11.65","13.048","7.804","0.273581558938246","0.307681436007953","0.350033578182149","0.534","0.874","0.677","0.247","0.386","0.267","0.101","10"
"HCT116_18O_Water","228.306457263546","7.228","12.292","8.312","0.233649310958882","0.376982296696774","0.59666930037059","0.334","0.781","0.61","0.212","0.381","0.295","0.112","15"
"HCT116_18O_Water","296.172095118918","7.229","13.103","9.071","0.175424400674968","0.458653664319795","0.809911592284417","0.531","0.97","0.724","0.185","0.384","0.304","0.126","30"
"HCT116_18O_Water","266.807443753478","6.566","13.358","10.212","0.126232831405892","0.456133684632993","0.901792482980052","0.521","1.067","0.854","0.159","0.364","0.33","0.147","60"
"HCT116_18O_Water","194.576017596576","5.574","12.466","9.811","0.097883674895203","0.3101642380287","0.631348836693504","0.414","0.804","0.717","0.166","0.371","0.319","0.144","120"
"HCT116_18O_Water","211.146347540969","21.554","3.159","0.404","0.88699100291731","0.153764855537305","0.079180728864483","2.263","0.361","0.091","0.992","0.008","0","0","0"
"HCT116_18O_Water","187.036879548889","18.209","5.551","1.761","0.655944715350656","0.268488387300268","0.178497703250179","1.486","1.013","0.529","0.613","0.286","0.086","0.016","2.5"
"HCT116_18O_Water","197.342280369772","14.274","7.901","3.752","0.30922589682454","0.191526257214587","0.20894921271598","0.889","1.025","0.661","0.368","0.377","0.195","0.06","5"
"HCT116_18O_Water","197.965579651479","8.644","10.04","6.909","0.182940904325338","0.207074721911109","0.33145417907424","0.835","1.38","0.992","0.233","0.385","0.277","0.104","10"
"HCT116_18O_Water","192.478751620056","6.576","10.229","6.857","0.148647460416156","0.214594363737996","0.389918916712201","0.77","1.349","1.042","0.206","0.387","0.29","0.117","15"
"HCT116_18O_Water","164.28076703573","5.177","9.045","6.723","0.142317799607576","0.266590806518211","0.480587644078267","0.607","1.182","0.814","0.187","0.374","0.313","0.126","30"
"HCT116_18O_Water","170.912872961299","5.376","9.443","7.147","0.120454913031332","0.242233102495111","0.471876700042639","0.692","1.23","0.985","0.173","0.381","0.316","0.131","60"
"HCT116_18O_Water","147.870973888945","3.972","7.915","6.821","0.077903584809147","0.159609030456362","0.361660652814068","0.433","0.947","0.965","0.151","0.359","0.331","0.158","120"
"HCT116_18O_Water","202.499184538378","23.344","3.658","0.629","1.01830794742517","0.198024896563177","0.156509834586841","1.12","0.201","0.109","0.991","0.008","0.001","0","0"
"HCT116_18O_Water","238.465024083942","26","6.738","2.126","1.06663620714497","0.317834365923758","0.215886599579886","1.034","0.613","0.422","0.543","0.317","0.115","0.025","2.5"
"HCT116_18O_Water","197.867371772342","17.033","7.837","3.754","0.555839035830108","0.212879961768497","0.231876452954721","0.505","0.467","0.385","0.34","0.378","0.211","0.071","5"
"HCT116_18O_Water","177.238088582409","9.278","9.675","6.486","0.226098054711503","0.155563913905242","0.252976253365057","0.474","0.685","0.562","0.224","0.381","0.281","0.113","10"
"HCT116_18O_Water","233.637865866398","8.389","11.396","8.076","0.2347062912086","0.159106565527605","0.303748897825428","0.421","0.641","0.535","0.201","0.369","0.299","0.131","15"
"HCT116_18O_Water","235.544973502898","7.395","10.215","7.653","0.18297621613354","0.174155467647406","0.369950012861781","0.355","0.521","0.499","0.176","0.37","0.315","0.139","30"
"HCT116_18O_Water","213.096559378468","7.616","11.808","9.397","0.236525058871102","0.258527389928879","0.552585571228087","0.436","0.932","0.823","0.164","0.373","0.319","0.144","60"
"HCT116_18O_Water","172.390737619114","4.745","8.114","7.149","0.159361668230338","0.140287833460197","0.326600697456232","0.266","0.51","0.525","0.151","0.355","0.335","0.16","120"
