"Condition","Obs_InsP6","Obs_InsP75","Obs_InsP75_1O","Obs_InsP75_2O","Obs_InsP8","Obs_InsP8_1O","Obs_InsP8_2O","Obs_InsP71","Obs_InsP71_1O","Obs_ratio_0O","Obs_ratio_1O","Obs_ratio_2O","Obs_ratio_3O","time"
"Yeast_dSPX_High_Pi","2.311","0.264","0.013","0","0.056","0.003","0","0.088","0","0.990791325108708","0.007777989596667","0.001430685294625","0","0"
"Yeast_dSPX_High_Pi","2.694","0.284","0.016","0","0.078","0.004","0","0.148","0","0.991244097677892","0.007859213530084","0.000896688792023","0","0"
"Yeast_dSPX_High_Pi","2.044","0.253","0.017","0","0.145","0.008","0.002","0.189","0.006","0.989981719957925","0.00970169830782","0.000316581734255","0","0"
"Yeast_dSPX_High_Pi","2.148","0.17","0.037","0.005","0.055","0.019","0.006","0.117","0.024","0.702164137155706","0.235602866779089","0.055485291362189","0.006747704703017","1"
"Yeast_dSPX_High_Pi","2.477","0.208","0.065","0.009","0.087","0.045","0.016","0.174","0.025","0.653997433289445","0.273021875279499","0.064344563212007","0.008636128219048","1"
"Yeast_dSPX_High_Pi","2.525","0.175","0.057","0.009","0.073","0.027","0.009","0.114","0.023","0.747236180904523","0.206515912897822","0.041053182579565","0.00519472361809","1"
"Yeast_dSPX_High_Pi","2.504","0.197","0.071","0.01","0.105","0.05","0.022","0.144","0.049","0.632672215091162","0.283062320203639","0.073217908752669","0.011047555952529","2"
"Yeast_dSPX_High_Pi","2.355","0.17","0.065","0.008","0.103","0.056","0.022","0.133","0.041","0.676507405508943","0.246596703267057","0.067062346561632","0.009833544662368","2"
"Yeast_dSPX_High_Pi","3.02","0.188","0.107","0.016","0.072","0.05","0.023","0.143","0.055","0.658677580131929","0.260616680340113","0.069570969929483","0.011134769598475","2"
"Yeast_dSPX_High_Pi","1.926","0.221","0.127","0.015","0.182","0.134","0.058","0.224","0.076","0.646313953488372","0.270888372093023","0.072611627906977","0.010186046511628","5"
"Yeast_dSPX_High_Pi","2.287","0.228","0.113","0.016","0.141","0.089","0.04","0.289","0.131","0.642149837261981","0.277922236657157","0.069081353239088","0.010846572841775","5"
"Yeast_dSPX_High_Pi","2.074","0.207","0.105","0.018","0.121","0.076","0.035","0.219","0.055","0.632186174674165","0.278930720872082","0.076801522884014","0.012081581569738","5"
"Yeast_dSPX_High_Pi","1.791","0.208","0.139","0.021","0.181","0.123","0.048","0.273","0.147","0.662226087122108","0.261877294012913","0.066350034038272","0.009546584826706","10"
"Yeast_dSPX_High_Pi","1.833","0.202","0.136","0.015","0.196","0.129","0.068","0.129","0.024","0.665134888305814","0.261351025292867","0.06381765555765","0.00969643084367","10"
"Yeast_dSPX_High_Pi","2.227","0.21","0.121","0.023","0.104","0.076","0.031","0.263","0.075","0.646093903626909","0.270131841899475","0.071681506311613","0.012092748162003","10"
"Yeast_dSPX_High_Pi","1.412","0.127","0.079","0.01","0.117","0.079","0.035","0.211","0.055","0.603591300300781","0.300059044589084","0.082523496273244","0.013826158836891","30"
"Yeast_dSPX_High_Pi","1.758","0.152","0.094","0.015","0.175","0.104","0.055","0.213","0.05","0.620245531057768","0.287702235303811","0.07881676679458","0.013235466843841","30"
"Yeast_dSPX_High_Pi","1.63","0.109","0.046","0.021","0.133","0.074","0.033","0.15","0.038","0.623920160389808","0.28453837173891","0.078363871688153","0.013177596183129","30"
